%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1452441756845843162,-3.73731667451e-05,0.0766269058483,0.07843976632,0.0,0.0,0.0738304809803
1452441756849320569,-0.00309201931868,0.0749664057758,0.0784422241964,0.0,0.0,0.074134934163
1452441756852538776,-0.00605502608605,0.0733557207055,0.0784445195234,0.0,0.0,0.0744302537502
1452441756855706472,-0.0089291426504,0.0717933561874,0.0784468505362,0.0,0.0,0.0747167137498
1452441756859148358,-0.0117170357178,0.0702778626047,0.0784493012413,0.0,0.0,0.0749945799495
1452441756862543933,-0.0144212919932,0.0688078338296,0.0784517913885,0.0,0.0,0.0752641101631
1452441756865963366,-0.0170444205804,0.0673819059177,0.0784540185882,0.0,0.0,0.0755255544704
1452441756869156833,-0.0195888553099,0.0659987558431,0.0784564441937,0.0,0.0,0.0757791554484
1452441756873460559,-0.0220569569975,0.0646571002708,0.0784588978015,0.0,0.0,0.0760251483971
1452441756876054931,-0.0244510156345,0.0633556943657,0.0784613155527,0.0,0.0,0.0762637615573
1452441756879611961,-0.0267732525124,0.0620933306377,0.0784638936337,0.0,0.0,0.0764952163227
1452441756882854649,0.0057797861119,0.0990777437766,0.08782115707,0.0,0.0,0.0689986893734
1452441756885897259,0.00264811646947,0.0970175666393,0.0878235446382,0.0,0.0,0.0693804663556
1452441756889294701,-0.000389603083683,0.0950191948161,0.0878262655377,0.0,0.0,0.0697507900284
1452441756892535265,-0.00333619105025,0.0930807741477,0.0878288645659,0.0,0.0,0.070110003991
1452441756895838727,-0.00619438137781,0.0912005060993,0.0878315069558,0.0,0.0,0.0704584415347
1452441756899444867,-0.00896682599555,0.0893766460923,0.0878342950945,0.0,0.0,0.0707964259521
1452441756902681088,-0.0116560972748,0.0876075018856,0.0878369718682,0.0,0.0,0.071124270837
1452441756909221880,-0.0142646904156,0.0858914320051,0.0878418094685,0.0,0.0,0.0714422803754
1452441756909336893,-0.0167950257622,0.0842268442209,0.0878423198759,0.0,0.0,0.0717507496275
1452441756912584441,0.0157894629915,0.123039956612,0.0967493907098,0.0,0.0,0.0639152568846
1452441756915890879,0.0124565269425,0.120554808911,0.0967522859733,0.0,0.0,0.0643774489613
